General,number_of_battles,WAR,aWAR
'Abd Allah II ibn 'Ali 'Abd ash-Shakur,1,-1.0484331566698821,-1.0484331566698821
'Abd Allah ibn Rawahah,1,-1.0493829312482097,-1.0493829312482097
'Amr ibn al-'As,3,2.1906552328293807,0.7302184109431269
12th Infantry Division (Pakistan),1,0.021404420747438896,0.021404420747438896
1st Belorussian Front,1,0.16035144992993067,0.16035144992993067
1st Infantry Division (United States),1,0.9199179237675209,0.9199179237675209
1st Panzer Army,1,-1.1117306793090453,-1.1117306793090453
1st Ukrainian Front,2,1.2701609921568493,0.6350804960784247
21st Army Group,1,0.9515662103580564,0.9515662103580564
2nd Belorussian Front,1,0.16035144992993067,0.16035144992993067
30th Infantry Division (United States),1,0.9199179237675209,0.9199179237675209
5th Panzer Army,1,-1.0484331566698821,-1.0484331566698821
6th Army (Wehrmacht),1,0.9262476443828341,0.9262476443828341
6th Panzer Army,1,-1.0484331566698821,-1.0484331566698821
7th Army (Wehrmacht),1,-1.0484331566698821,-1.0484331566698821
7th Infantry Division (Pakistan),1,0.021404420747438896,0.021404420747438896
A. P. Hill,7,-2.2995628073063576,-0.3285089724723368
A.J. Drake,1,-1.0485773056568073,-1.0485773056568073
Aaron S. Merrill,3,2.841983042531658,0.9473276808438861
Abalkhail,1,-1.0522313055251007,-1.0522313055251007
Abbas Mirza,2,-1.8777385719816573,-0.9388692859908286
Abbas al-Musawi,1,-0.13377386757579596,-0.13377386757579596
Abbas ibn Ali,1,-1.0483986596925285,-1.0483986596925285
Abbas ibn Ziyad,1,0.9484016665364305,0.9484016665364305
Abd Allah ibn Abbas,1,0.9452368062287739,0.9452368062287739
Abd Allah ibn al-Zubayr,1,-1.038938892232943,-1.038938892232943
Abd al-Aziz ibn Mutib,4,-2.2130395405003567,-0.5532598851250892
Abd al-Baqi Yazdi,1,-1.0294443113099732,-1.0294443113099732
Abd al-Razzaq Maymandi,1,-1.064257774694196,-1.064257774694196
Abd ar-Rahman ibn Rabiah,1,-1.0484331566698821,-1.0484331566698821
Abd el-Krim,1,0.9506170687517902,0.9506170687517902
Abdallah al-Battal,1,-1.054763193771226,-1.054763193771226
Abdallah al-Ghalib,1,0.9515662103580564,0.9515662103580564
Abdallah ibn Ali,1,0.940489515767289,0.940489515767289
Abdallah ibn Buluggin,1,0.951566843330118,0.951566843330118
Abdallahi ibn Muhammad,1,-1.0319761995560983,-1.0319761995560983
Abdel Hakim Amer,2,-1.9419532690754167,-0.9709766345377083
Abdel Rahman Abdel Hamid,1,-1.0474840150636158,-1.0474840150636158
Abdelhakim Belhadj,1,0.9490346385979619,0.9490346385979619
Abdelwahid Aboud Mackaye,1,-1.049066445217444,-1.049066445217444
Abdi Hasan Awale Qeybdiid,1,0.95172476985947,0.95172476985947
Abdihakim Mohamoud Haji-Faqi,1,0.9573582212070988,0.9573582212070988
Abdikarim Yusuf Adam,1,0.9573582212070988,0.9573582212070988
Abdrabbuh Mansur Hadi,1,-0.04843378964194358,-0.04843378964194358
Abdul Ali Malik,2,-1.9813283005993787,-0.9906641502996894
Abdul Aziz al-Hakim,1,-0.21300328752288314,-0.21300328752288314
Abdul Fatah Younis,6,-3.297168557045926,-0.5495280928409877
Abdul Ghani Baradar,1,0.9517722427640849,0.9517722427640849
Abdul Hamid II,1,0.908050782329653,0.908050782329653
Abdul Hamid Khan (general),1,-0.932916071926446,-0.932916071926446
Abdul Haris Nasution,1,-1.0484337896419436,-1.0484337896419436
Abdul Kabir,1,0.9517722427640849,0.9517722427640849
Abdul Motaleb Malik,1,-0.932916071926446,-0.932916071926446
Abdul Munim Riad,1,-0.9884656051492027,-0.9884656051492027
Abdul Munim Wassel,1,0.9899948318080231,0.9899948318080231
Abdul Qassim,1,-1.0471675290328502,-1.0471675290328502
Abdul Qayyum Zakir,1,-1.0484331566698821,-1.0484331566698821
Abdul Rahim Khan,1,-0.932916071926446,-0.932916071926446
Abdul Rahman Al Ghafiqi,1,-1.0413125374636854,-1.0413125374636854
Abdul Rahman Arif,1,-0.9884656051492027,-0.9884656051492027
Abdul Rahman Ghassemlou,1,-0.03223747927035228,-0.03223747927035228
Abdul Rahman Hassan Azzam,1,-1.029824094546892,-1.029824094546892
Abdul Rashid Dostum,1,0.9515662103580564,0.9515662103580564
Abdul-Rahman Mustaghni,1,-0.04833852734668312,-0.04833852734668312
Abdul-Rahman ibn Abi Bakr,2,1.9023418386112603,0.9511709193056301
Abdulla Kurd,1,-1.0470092860174673,-1.0470092860174673
Abdullah I of Jordan,1,-1.029824094546892,-1.029824094546892
Abdullah Mohamed Fadil,1,-1.023684265550038,-1.023684265550038
Abdullah al-Janabi,2,-0.09450912538262157,-0.047254562691310786
Abdullah bin Saud,2,-2.0933855999734035,-1.0466927999867017
Abdullahi Ahmed Irro,1,-1.023684265550038,-1.023684265550038
Abdullahi Yusuf Ahmed,1,-1.023684265550038,-1.023684265550038
Abdulrahman Aare,1,-1.023684265550038,-1.023684265550038
Abdulrahman Said Dhegaweyne,1,0.95172476985947,0.95172476985947
Abe Sadamasa,1,-1.0525477915558665,-1.0525477915558665
Abe no Hirafu,1,-0.9200750591481108,-0.9200750591481108
Abel Douay,1,-1.046338976072903,-1.046338976072903
Abel Streight,1,0.9510917977979387,0.9510917977979387
Abid Hamid Mahmud,2,-0.8749550324285843,-0.43747751621429215
Abijah of Judah,1,0.8249721145378222,0.8249721145378222
Abner C. Harding,1,0.9515412079616259,0.9515412079616259
Abolhassan Banisadr,2,-1.2580880815723074,-0.6290440407861537
Abradatas,2,0.9784150487263257,0.48920752436316284
Abraham Duquesne,1,0.9557376693700292,0.9557376693700292
Abraham Josias Sluysken,1,-1.0495728228666692,-1.0495728228666692
Abraham Lincoln,2,-0.11121389105849455,-0.055606945529247276
Abraham Whipple,1,-1.0444821220199378,-1.0444821220199378
Abraham van der Hulst,1,0.9636484569192298,0.9636484569192298
Abrar Hussain (general),1,0.9360454871042797,0.9360454871042797
Absalom B. Moore,1,-1.0491930396297504,-1.0491930396297504
Abu Abdallah Mohammed II Saadi,1,-1.0553623824274847,-1.0553623824274847
Abu Anas al-Shami,1,0.9527058765548435,0.9527058765548435
Abu Ayyub al-Ansari,1,0.9452368062287739,0.9452368062287739
Abu Ayyub al-Masri,3,0.8570577179474963,0.28568590598249877
Abu Bakr,2,1.9013539145722866,0.9506769572861433
Abu Bakr (Timurid),1,0.9072584825368945,0.9072584825368945
Abu Dujana,1,0.9474522084441336,0.9474522084441336
Abu Mansoor Al-Amriki,1,-1.0515983334635695,-1.0515983334635695
Abu Marwan Abd al-Malik I Saadi,1,0.9768854093053402,0.9768854093053402
Abu Musab al-Zarqawi,1,-1.047215001937465,-1.047215001937465
Abu Oweis,1,0.9490346385979619,0.9490346385979619
Abu Saeed (TNSM Commander),1,-1.0476422580789986,-1.0476422580789986
Abu Sahl Zawzani,1,-1.064257774694196,-1.064257774694196
Abu Sufyan ibn Harb,2,-0.7680322297069337,-0.3840161148534669
Abu Ubaidah ibn al-Jarrah,3,2.8596051140091294,0.9532017046697098
Abu Youssef Sharqieh,1,-1.04827523014053,-1.04827523014053
Abu Yusuf Yaqub al-Mansur,1,0.951566843330118,0.951566843330118
Abu Zakaria al-Jamal,1,-1.038938892232943,-1.038938892232943
Abu al-Muhajir Dinar,1,-1.0493829312482097,-1.0493829312482097
Abu al-Qasim (Kalbid),1,0.951566843330118,0.951566843330118
Abu al-Qasim (Kalbite) — Wikipédia,1,0.951566843330118,0.951566843330118
Abu'l-Hasan Asaf Khan,1,0.8737966039166014,0.8737966039166014
Abu-Bakr Yunis Jabr,1,-1.0474840150636158,-1.0474840150636158
Academic Legion (students' group),1,-0.04780050109438149,-0.04780050109438149
Achaemenes (satrap),2,-0.8585364923295478,-0.4292682461647739
Achillas,1,-1.021808727652791,-1.021808727652791
Adalbold II of Utrecht,1,-1.0520730625097179,-1.0520730625097179
"Adam Duncan, 1st Viscount Duncan",1,0.9481145468226179,0.9481145468226179
Adam Gordon of Auchindoun,1,0.9513133380194747,0.9513133380194747
Adam Heinrich von Steinau,1,-0.8889663157018493,-0.8889663157018493
"Adam Hepburn, 2nd Earl of Bothwell",1,-1.0373564620791147,-1.0373564620791147
Adam Ludwig Lewenhaupt,3,-0.23349635039061112,-0.07783211679687037
Adam Mohuczy,1,-1.0487924808923612,-1.0487924808923612
Adam Muir (British Army officer),1,-0.04849835279221978,-0.04849835279221978
Adam Stephen,1,-1.0530541692050914,-1.0530541692050914
Adam Veyde,1,-1.0438310964182098,-1.0438310964182098
Adam W. Snyder,1,-0.04852841896514251,-0.04852841896514251
Adeimantus (son of Leucolophides),1,-1.022543622994893,-1.022543622994893
Adeimantus of Corinth,1,-0.08741208089833725,-0.08741208089833725
Adhemar of Le Puy,3,2.7789092983247117,0.9263030994415705
Adherbal (admiral),1,0.9343066267367406,0.9343066267367406
Admiral,3,2.596692770245638,0.865564256748546
Adnan Khairallah,2,0.8876804444971687,0.4438402222485843
Adolf Hitler,3,-3.732906692486889,-1.244302230828963
Adolf Schiel,1,-1.048226334915926,-1.048226334915926
Adolf VIII of Berg,1,0.9756970205419813,0.9756970205419813
Adolf of Germany,1,-1.077289588441917,-1.077289588441917
Adolf of Nassau (1540–1568),1,0.9483027288353202,0.9483027288353202
Adolph Englemann,1,-1.0484337896419436,-1.0484337896419436
Adolphe Guillaumat,1,0.5907724517712318,0.5907724517712318
Adriaen Banckert,2,0.8900128632511335,0.44500643162556675
Adrian von Bubenberg,1,0.9594786776132287,0.9594786776132287
Adrianus Antonius van Nijnatten,1,-1.049066445217444,-1.049066445217444
Adrien Maurice de Noailles,1,-1.0397141068710858,-1.0397141068710858
Afawarq Walda Samayat,1,-1.040837808417537,-1.040837808417537
Afonso I of Portugal,1,0.9452368062287739,0.9452368062287739
"Afonso I, Duke of Braganza",1,0.9420719459211173,0.9420719459211173
Afonso Pereira de Lacerda,1,0.951566843330118,0.951566843330118
Afonso V of Portugal,2,0.856539749057711,0.4282698745288555
African Union Mission to Somalia,1,0.9573582212070988,0.9573582212070988
Afzal Rahman Khan,1,0.021404420747438896,0.021404420747438896
Agathocles,1,-1.0484331566698821,-1.0484331566698821
Agesilaus II,1,0.9468192363826022,0.9468192363826022
Agha Mohammad Khan Qajar,2,0.9150015963279176,0.4575007981639588
Agim Çeku,1,0.9484016665364305,0.9484016665364305
Agis II,1,0.9192250733277803,0.9192250733277803
Agis III,1,-1.021808727652791,-1.021808727652791
Agostino Barbarigo (admiral),1,0.9120541847776201,0.9120541847776201
Agustín Jerónimo de Iturbide y Huarte,1,-1.046218070940553,-1.046218070940553
Ahab,1,0.09243041832705498,0.09243041832705498
Ahmad Ismail Ali,2,0.19748972106632445,0.09874486053316223
Ahmad Shah Durrani,2,1.463955399313271,0.7319776996566355
Ahmad Shirazi,1,-1.064257774694196,-1.064257774694196
Ahmad Zeidan,1,-1.0705874953095091,-1.0705874953095091
Ahmad al-Mansur,1,0.9768854093053402,0.9768854093053402
Ahmad ibn Ibrahim al-Ghazi,7,0.6885755319989864,0.09836793314271233
Ahmed Abdi Godane,1,-1.0515983334635695,-1.0515983334635695
Ahmed Ali al-Mwawi,1,-1.029824094546892,-1.029824094546892
Ahmed Haji Hassan,1,-1.023684265550038,-1.023684265550038
Ahmed Hifzi Pasha,2,-0.13926254375756908,-0.06963127187878454
Ahmed Jabari,1,-1.038938892232943,-1.038938892232943
Ahmed Khan bin Küchük,1,-1.0484331566698821,-1.0484331566698821
Ahmed Muhtar Pasha,5,-3.174122869164947,-0.6348245738329894
Ahmed Rifai al-Joju,3,0.8549214372398284,0.28497381241327613
Ahmed Saleh,1,-0.04843378964194358,-0.04843378964194358
Ahmed Tabouk,1,-1.0481169871251472,-1.0481169871251472
Ahmed ‘Urabi,1,-1.0458731385100053,-1.0458731385100053
Ahmet Lepenica,1,0.9476104514595164,0.9476104514595164
Ahn Wi,1,0.9534363493557164,0.9534363493557164
Aimable Pélissier,1,0.8961814714600962,0.8961814714600962
Aimery IV of Narbonne,1,0.9321656466261836,0.9321656466261836
Aimery of Cyprus,1,-1.065357778550083,-1.065357778550083
Air Headquarters (Pakistan Air Force),1,-0.932916071926446,-0.932916071926446
Air chief marshal,3,1.5040800839134052,0.5013600279711351
Air marshal,3,0.030560294742110222,0.010186764914036741
Air vice-marshal,1,-0.932916071926446,-0.932916071926446
Aisha,1,-1.038938892232943,-1.038938892232943
Aju,1,1.7023776343934292,1.7023776343934292
Akbar,2,1.7205008248440106,0.8602504124220053
Akbar Hashemi Rafsanjani,2,-1.257797171324991,-0.6288985856624955
Akechi Mitsuhide,3,-1.143085017252379,-0.3810283390841263
Akechi Shigetomo,1,-1.0525477915558665,-1.0525477915558665
Akhmed Zakayev,1,-1.0459807064174789,-1.0459807064174789
Akhtar Hussain Malik,1,0.021404420747438896,0.021404420747438896
Akhtar Mohammad Osmani,2,-2.0962336577642633,-1.0481168288821316
Akram al-Kabi,1,-0.043369696663662215,-0.043369696663662215
Al Qama,1,-0.9892505854027339,-0.9892505854027339
Al-Adil I,4,-1.0529742649648288,-0.2632435662412072
Al-Afdal Shahanshah,3,-1.1247285109819396,-0.3749095036606465
Al-Afdal ibn Salah ad-Din,2,0.030600268054838953,0.015300134027419476
Al-Ashraf Khalil,1,0.8819396000756414,0.8819396000756414
"Al-Ashraf Musa, Sultan of Egypt",1,-1.0326091716176298,-1.0326091716176298
Al-Ashraf Qansuh Al-Ghuri,1,-1.0231145906946597,-1.0231145906946597
Al-Dahhak ibn Qays al-Fihri,1,-0.5917954131802183,-0.5917954131802183
Al-Harith ibn Jabalah,1,-1.1039183258369194,-1.1039183258369194
Al-Harith ibn Surayj,1,-1.0471675290328502,-1.0471675290328502
Al-Hurr ibn Yazid al Tamimi,1,0.9461862643210709,0.9461862643210709
Al-Husayn ibn Rabah,1,-1.0419610106156578,-1.0419610106156578
Al-Husayn ibn Zikrawayh,1,-0.9977612040884847,-0.9977612040884847
Al-Jarrah ibn Abdallah,1,0.951566843330118,0.951566843330118
Al-Malik ibn Shu'aib,1,-1.054763193771226,-1.054763193771226
Al-Mansur Ibrahim,1,-1.0449521268174906,-1.0449521268174906
Al-Mansur Qalawun,1,0.951566843330118,0.951566843330118
Al-Mu'tadid,1,-1.0471675290328502,-1.0471675290328502
Al-Mu'tamid ibn Abbad,1,0.951566843330118,0.951566843330118
Al-Muazzam Turanshah,1,0.9515662103580564,0.9515662103580564
Al-Mundhir III ibn al-Nu'man,1,1.1545167757221737,1.1545167757221737
Al-Musta'sim,1,-1.0326091716176298,-1.0326091716176298
Al-Muzaffar Umar,3,-0.010870512424229282,-0.0036235041414097607
Al-Nu'man ibn Muqrin,1,0.9420719459211173,0.9420719459211173
Al-Qaqa ibn Amr al-Tamimi,2,1.9039242687650884,0.9519621343825442
Al-Qassim Region,1,-1.0522313055251007,-1.0522313055251007
Al-Saadi Gaddafi,2,-2.0937017695181384,-1.0468508847590692
Al-Walid ibn Uqba,1,-1.038938892232943,-1.038938892232943
Alaal-Din,1,-1.0224059905818355,-1.0224059905818355
"Alan IV, Duke of Brittany",1,0.951566843330118,0.951566843330118
Alan Rufus,1,0.9485599095518134,0.9485599095518134
Alaric I,1,0.9373246554596324,0.9373246554596324
Alasdair Mac Colla,6,3.6946611870159973,0.6157768645026662
Alatheus,1,0.9679446789362103,0.9679446789362103
Alberic I of Spoleto,1,0.9515662103580564,0.9515662103580564
Alberico Albricci,1,0.9515662103580564,0.9515662103580564
Alberico Novello da Barbiano,1,-0.9612301592904291,-0.9612301592904291
Alberico da Barbiano,1,0.9515662103580564,0.9515662103580564
"Albert Alcibiades, Margrave of Brandenburg-Kulmbach",1,0.9572632753978692,0.9572632753978692
"Albert Casimir, Duke of Teschen",1,-1.0461083906366753,-1.0461083906366753
Albert G. Jenkins,1,-1.0476739066820753,-1.0476739066820753
Albert G. Noble,1,0.8145280755225552,0.8145280755225552
Albert H. Rooks,1,-1.0488649706585964,-1.0488649706585964
Albert I of Belgium,3,-1.5080892679446816,-0.5026964226482272
Albert Kesselring,4,-2.6721541244750293,-0.6680385311187573
Albert Mandler,2,-0.18044852528082866,-0.09022426264041433
Albert Okonkwo,1,-1.046218070940553,-1.046218070940553
Albert Rust,1,-1.0468510430020845,-1.0468510430020845
Albert Sidney Johnston,1,-1.03566800910498,-1.03566800910498
"Albert VII, Archduke of Austria",1,-1.0341475591586686,-1.0341475591586686
Albert of Saxony,2,1.9031324207161129,0.9515662103580564
Albert of Schwarzburg,1,0.947107719316356,0.947107719316356
"Albrecht, Duke of Württemberg",4,1.6585009189184199,0.41462522972960497
Alcibiades,1,0.9391969317671555,0.9391969317671555
Aleksander Józef Lisowski,1,-1.0531807636173978,-1.0531807636173978
Aleksandr Cherepanov (general),1,-1.0009605685410634,-1.0009605685410634
Aleksandr Vasilevsky,5,3.4763026233726166,0.6952605246745234
Aleksei Brusilov,2,0.733152574506395,0.3665762872531975
Aleksey Golokhvastov,1,0.9523260933179247,0.9523260933179247
Aleksey Greig,1,0.9501282018351417,0.9501282018351417
Aleksey Kuropatkin,4,-2.9045743407676348,-0.7261435851919087
Aleksey Petrovich Yermolov,1,0.9408060017980546,0.9408060017980546
Aleppo,1,0.951566843330118,0.951566843330118
"Alessandro, Marquis de Maffei",1,-1.0449023429734465,-1.0449023429734465
Alexander Andreyevich Baranov,1,0.9519027492174674,0.9519027492174674
Alexander Cochrane,2,-2.087978475496437,-1.0439892377482185
"Alexander Cunningham, 1st Earl of Glencairn",1,-1.0579280540788827,-1.0579280540788827
Alexander Danilovich Menshikov,3,0.01716959845041166,0.0057231994834705535
Alexander Dickson (American War of Independence),1,-1.0482594058389918,-1.0482594058389918
"Alexander Farnese, Duke of Parma",2,-0.07231372962636873,-0.036156864813184364
Alexander Fok,2,-2.0944616524780066,-1.0472308262390033
Alexander Godley,3,-1.149117557484803,-0.3830391858282676
Alexander Gorbatyi-Shuisky,1,0.9515662103580564,0.9515662103580564
Alexander Hamilton,2,1.892831862268069,0.9464159311340345
"Alexander Home, 1st Lord Home",1,0.9572632753978692,0.9572632753978692
"Alexander Home, 3rd Lord Home",1,-1.0373564620791147,-1.0373564620791147
Alexander I of Russia,4,0.0301632162668497,0.007540804066712425
Alexander I of Yugoslavia,2,1.9235881951554685,0.9617940975777343
Alexander II of Russia,1,0.9104233428445511,0.9104233428445511
Alexander Imerentinsky,1,0.9443813444876143,0.9443813444876143
Alexander Ivanovich Ostermann-Tolstoy,2,-0.07281432445966596,-0.03640716222983298
Alexander Korsakov,1,-1.0243805348177224,-1.0243805348177224
Alexander Leslie (British Army officer),3,-0.14725643242230912,-0.049085477474103044
"Alexander Leslie, 1st Earl of Leven",2,1.7191910975426479,0.8595955487713239
Alexander Lillington,1,0.9512342165117832,0.9512342165117832
"Alexander Lindsay, 1st Earl of Balcarres",1,-1.0422193692502342,-1.0422193692502342
Alexander Löhr,2,-0.12210887831661274,-0.06105443915830637
Alexander Macomb (general),1,0.9484768193269602,0.9484768193269602
Alexander Madiebo,1,-1.0484331566698821,-1.0484331566698821
Alexander McDougall,1,-1.0494145798512864,-1.0494145798512864
Alexander McDowell McCook,1,0.9485282609487369,0.9485282609487369
Alexander McKee,1,0.9516772969548551,0.9516772969548551
Alexander Murray (1816–1884),1,0.9373246554596324,0.9373246554596324
Alexander Nevsky,1,0.9468192363826022,0.9468192363826022
Alexander Papagos,1,-0.8642100294814452,-0.8642100294814452
Alexander Patch,2,1.7015843052575852,0.8507921526287926
Alexander Posey (general),1,0.9519779586840825,0.9519779586840825
Alexander R. Thompson,1,-1.048781607789755,-1.048781607789755
Alexander Samsonov,2,0.03669015867128411,0.018345079335642056
Alexander Sergeyevich Menshikov,2,-2.0433464496773652,-1.0216732248386826
Alexander Spence (soldier),1,-1.0493987555497482,-1.0493987555497482
Alexander Stewart (British Army officer),1,0.9521994989056185,0.9521994989056185
"Alexander Stewart, 4th High Steward of Scotland",1,-0.04843315666988205,-0.04843315666988205
"Alexander Stewart, Duke of Albany",1,-1.053507229377865,-1.053507229377865
"Alexander Stewart, Earl of Mar",2,-1.0968669463118257,-0.5484334731559128
Alexander Suvorov,4,3.79043403995014,0.947608509987535
Alexander Thorneycroft,1,-1.0534510202818796,-1.0534510202818796
Alexander Vandegrift,1,0.9325773649981475,0.9325773649981475
Alexander William Doniphan,1,0.9512690299751675,0.9512690299751675
Alexander Yegorov (military),1,-1.009822177402502,-1.009822177402502
Alexander of Battenberg,1,0.941438973859586,0.941438973859586
Alexander of Dorpat,1,-0.03973010730985709,-0.03973010730985709
Alexander the Great,9,8.254001204380838,0.9171112449312042
Alexander von Arentschildt (Hannover),1,0.9575797614286348,0.9575797614286348
Alexander von Kluck,4,0.2762481795493885,0.06906204488734713
Alexander von Krobatin,1,-0.6932447616334708,-0.6932447616334708
Alexander von Linsingen,2,1.054887388584477,0.5274436942922385
"Alexander, 2nd Lord Forbes of Pitsligo",1,-1.0481486357282237,-1.0481486357282237
"Alexandre Maître, Marquis de Bay",1,-1.054763193771226,-1.054763193771226
Alexei Evert,2,1.6499442290756443,0.8249721145378222
Alexei Grigoryevich Orlov,1,0.9485460443253015,0.9485460443253015
Alexei Vinogradov,1,-1.0326091716176298,-1.0326091716176298
Alexey Kaledin,1,0.161369284581103,0.161369284581103
Alexios Doukas Philanthropenos,1,0.9422174142859411,0.9422174142859411
Alexios I Komnenos,3,0.8244751645941408,0.2748250548647136
Alexios Kaballarios,1,-1.0579280540788827,-1.0579280540788827
Alexios Strategopoulos,1,-1.0484337896419436,-1.0484337896419436
Alfonso Carrillo de Acuña,1,-0.08553219686340627,-0.08553219686340627
Alfonso Ferrero La Marmora,1,-1.0690050651556808,-1.0690050651556808
"Alfonso I d'Este, Duke of Ferrara",2,1.8958535584945335,0.9479267792472668
Alfonso II of Naples,1,-0.04843315666988205,-0.04843315666988205
Alfonso V of Aragon,1,-1.0429387444489548,-1.0429387444489548
Alfonso VI of León and Castile,1,-1.0484337896419436,-1.0484337896419436
Alfonso VIII of Castile,2,-0.10098158119780998,-0.05049079059890499
Alfonso d'Avalos,1,-1.0352032852590818,-1.0352032852590818
Alfred Booker,1,-1.048164460029762,-1.048164460029762
Alfred E. Jackson,1,0.9516614726533169,0.9516614726533169
Alfred Fletcher,1,-1.0429417766226967,-1.0429417766226967
"Alfred I, Prince of Windisch-Grätz",2,-0.07359811938387928,-0.03679905969193964
Alfred Pleasonton,7,1.6488749720752698,0.23555356743932426
Alfred Sully,2,1.9020570011835711,0.9510285005917856
Alfred Terry,2,-0.10825794129807542,-0.05412897064903771
Alfred Thomas Archimedes Torbert,2,1.90113887520832,0.95056943760416
Alfred the Great,1,0.9515662103580564,0.9515662103580564
Alfredo M. Santos,3,0.762836865878447,0.2542789552928157
Algirdas,1,0.9444455911518598,0.9444455911518598
Ali,4,2.797879293072298,0.6994698232680745
Ali Abdullah Saleh,1,-0.04843378964194358,-0.04843378964194358
Ali Abu Hassun,1,-1.0484337896419436,-1.0484337896419436
Ali Adil Shah I,1,0.6195206419565333,0.6195206419565333
Ali Aslan,1,-0.7925051107416986,-0.7925051107416986
Ali Barid Shah I,1,0.6195206419565333,0.6195206419565333
Ali Daya,1,-1.064257774694196,-1.064257774694196
Ali Dhere,1,-1.0515983334635695,-1.0515983334635695
Ali Ghaidan Majid,1,-0.05792805407888269,-0.05792805407888269
Ali Hassan al-Majid,3,-2.0816315209673286,-0.6938771736557762
Ali Hussein,1,-1.023684265550038,-1.023684265550038
Ali II of Yejju,1,0.9420719459211173,0.9420719459211173
Ali Ismail,1,-1.023684265550038,-1.023684265550038
Ali Jan Aurakzai,1,0.9493511246287275,0.9493511246287275
Ali Khamenei,1,-0.21300328752288314,-0.21300328752288314
Ali Mohamed Hussein,1,-1.0515983334635695,-1.0515983334635695
Ali Mohsen al-Ahmar,1,-0.03973010730985709,-0.03973010730985709
Ali Sayad Shirazi,3,2.095770867279708,0.698590289093236
Ali of Hejaz,1,-1.046467864805895,-1.046467864805895
Ali İhsan Sâbis,1,0.9683115503364772,0.9683115503364772
Alija Izetbegović,1,-0.0705874953095092,-0.0705874953095092
Aliya Rama Raya,1,-0.9003486753005057,-0.9003486753005057
Allan Maclean of Torloisk,1,0.9521362016994653,0.9521362016994653
Allen Dulles,1,-1.0483978625831945,-1.0483978625831945
Allen H. Turnage,1,0.932766940130576,0.932766940130576
Alligator (Seminole),1,0.9516931212563935,0.9516931212563935
Alonso Peralta,1,-1.043686182694428,-1.043686182694428
"Alonso Pérez de Guzmán, 7th Duke of Medina Sidonia",2,-2.0855044513851437,-1.0427522256925719
Alonso de Alvarado,1,0.9515443728219336,0.9515443728219336
Alonso de Bazán,1,-1.0557692033455233,-1.0557692033455233
Alp Arslan,1,0.9594786776132287,0.9594786776132287
Alphonse Jacques de Dixmude,1,0.93384330912121,0.93384330912121
Alphonse Joseph Georges,1,-0.8565139756327843,-0.8565139756327843
"Alphonse, Count of Poitiers",1,0.9514399324317809,0.9514399324317809
Alvan Cullem Gillem,1,-1.0484337896419436,-1.0484337896419436
Alvin Spoor,1,0.9895448505359667,0.9895448505359667
Amakasu Kagemochi,1,-0.04273672460213089,-0.04273672460213089
Amalric of Jerusalem,1,-0.05222864280993303,-0.05222864280993303
"Amalric, Lord of Tyre",1,-1.0318909469446018,-1.0318909469446018
Amangkurat II of Mataram,1,-1.0484331566698821,-1.0484331566698821
Amari Torayasu,1,-1.0486550133774488,-1.0486550133774488
"Ambrogio Spinola, 1st Marquis of the Balbases",2,1.9040825117804714,0.9520412558902357
Ambrose Burnside,6,1.650434161301749,0.2750723602169582
Ambrose R. Wright,1,0.9518830128748529,0.9518830128748529
Ambrosio Boccanegra,1,0.9561691668727129,0.9561691668727129
Ambrosius Aurelianus,1,-0.04843378964194358,-0.04843378964194358
American Civil War,1,0.9452368062287739,0.9452368062287739
American Horse (elder),1,-1.0486550133774488,-1.0486550133774488
Amin al-Husseini,1,-1.029824094546892,-1.029824094546892
Amir Abdullah Khan Niazi,1,-0.932916071926446,-0.932916071926446
Amir Drori,3,-1.145634628716227,-0.38187820957207563
Amir Husain Al-Kurdi,1,-1.0467074831451781,-1.0467074831451781
Amir Nasir Khan Talpur,1,-1.038938892232943,-1.038938892232943
Ammar ibn Yasir,1,0.9452368062287739,0.9452368062287739
Ammatas,1,-1.0449521268174906,-1.0449521268174906
Amon B. King,1,-1.0483866332233596,-1.0483866332233596
Ampud,1,-1.058719269155797,-1.058719269155797
Amr ibn Hishām,1,-1.0453929830668314,-1.0453929830668314
Amrik Singh,1,-1.0483701759497597,-1.0483701759497597
Amru bin Ma'adi Yakrib,2,1.8991769783036037,0.9495884891518018
Amun-her-khepeshef,1,0.8992042240453507,0.8992042240453507
Amédée Courbet,1,0.9534363493557164,0.9534363493557164
Amédée Emmanuel François Laharpe,1,0.9493742393118695,0.9493742393118695
Amédée de Failly,1,0.9218168399521149,0.9218168399521149
An-Nasir Dawud,1,-1.0449521268174906,-1.0449521268174906
Anarawd ap Rhodri,1,0.9515662103580564,0.9515662103580564
Anastasios Papoulas,3,-2.0432112672217015,-0.6810704224072338
Anatoly Khrulyov,1,0.9547313871517438,0.9547313871517438
Anatoly Kvashnin,2,1.8683195903039516,0.9341597951519758
Anatoly Stessel,3,-3.1455141514736726,-1.048504717157891
Anayama Nobutada,1,-1.0531807636173978,-1.0531807636173978
Andarzaghar,1,-1.0357740319252864,-1.0357740319252864
Anders Sinclair,1,-1.0486233647743721,-1.0486233647743721
Andranik,1,0.9515662103580564,0.9515662103580564
Andrea Dandolo (admiral),1,-1.0347693855709301,-1.0347693855709301
Andrea Doria,4,-4.2571667958000745,-1.0642916989500186
Andrea Gritti,1,0.9563138173055721,0.9563138173055721
Andreas von Auersperg,1,0.9531647812994538,0.9531647812994538
