General,number_of_battles,WAR,aWAR
Kō no Moroyasu,1,0.940489515767289,0.940489515767289
Kōsa,1,-1.043686182694428,-1.043686182694428
Kōsaka Masanobu,1,-0.05476319377122607,-0.05476319377122607
Kōtoku Satō,2,-1.1526507876669791,-0.5763253938334896
La Hire,2,1.9024684330235666,0.9512342165117833
Lacedaemonius,1,-0.06569337326325943,-0.06569337326325943
Laches (general),1,-1.0459015849097875,-1.0459015849097875
Lachlan McIntosh,2,-2.1046135575750045,-1.0523067787875022
Ladislav Velen ze Žerotína,1,0.9504588257364074,0.9504588257364074
Lafayette McLaws,1,-1.048053689918994,-1.048053689918994
Laimbu,1,0.9325773649981475,0.9325773649981475
Lajos Aulich,2,1.8935640258812307,0.9467820129406154
Lal Bahadur Shastri,1,-0.17593031808497717,-0.17593031808497717
Lal Singh,3,-3.1565143308268073,-1.0521714436089358
Lala Mustafa Pasha,1,1.0148637329972197,1.0148637329972197
Lala Şahin Pasha,1,0.9518197156686997,0.9518197156686997
Lamachus,1,-1.0484337896419436,-1.0484337896419436
Lamba Doria,1,0.9414982517814683,0.9414982517814683
Lambert Ihenacho,2,-0.09211933936431005,-0.046059669682155024
Lambert Simnel,1,-1.0509653614020382,-1.0509653614020382
Lame White Man,1,0.9510285005917856,0.9510285005917856
"Lamoral, Count of Egmont",2,1.916168859327776,0.958084429663888
Lan Yu (general),1,0.9040936222292378,0.9040936222292378
Lancelot Holland,1,-1.0478581431523346,-1.0478581431523346
Landulf IV of Benevento,1,-1.0484337896419436,-1.0484337896419436
Lars Gunnarson Hågå,1,0.9516931212563935,0.9516931212563935
Laurence B. Keiser,1,-1.1290016384939583,-1.1290016384939583
Laurent Giovanninelli,1,0.950490474339484,0.950490474339484
Laurent Nkunda,1,-1.0503323893405068,-1.0503323893405068
Laurent de Gouvion Saint-Cyr,4,-1.2379850441312796,-0.3094962610328199
Lautaro,2,-0.09360714019493943,-0.046803570097469716
Lawrence Nicholson,1,0.9449203201980083,0.9449203201980083
Lawrence O'Bryan Branch,2,-2.0943350580657003,-1.0471675290328502
Lazar of Serbia,1,-0.0417872665098339,-0.0417872665098339
Lazare Carnot,1,0.9373246554596324,0.9373246554596324
Lazare Hoche,2,-0.09702518932720838,-0.04851259466360419
Le Quang Ba,1,0.9719798758284725,0.9719798758284725
Le Seigneur de Tais,1,-1.0485917161712957,-1.0485917161712957
Leberecht Maass,1,-1.0431116706228143,-1.0431116706228143
Lecha Dudayev,1,-1.0470092860174673,-1.0470092860174673
Legatus,1,0.9389070856134607,0.9389070856134607
Lehel,1,-1.0484331566698821,-1.0484331566698821
Lei Xu,1,0.9389070856134607,0.9389070856134607
Leif Newry Fitzroy Crozier,1,-1.0484034069829902,-1.0484034069829902
Leighton W. Smith Jr.,1,-0.0705874953095092,-0.0705874953095092
Leland Hobbs,1,0.9199179237675209,0.9199179237675209
Lelio Brancaccio,1,-1.1165977265269489,-1.1165977265269489
Lembitu,2,-2.098765546010389,-1.0493827730051946
Lemucaguin,1,-1.0460598279251703,-1.0460598279251703
Lennart Torstensson,3,2.74061070010565,0.9135369000352167
Leo D. Hermle,1,0.934792767213507,0.934792767213507
"Leo I, King of Armenia",1,0.9440553179744682,0.9440553179744682
"Leo I, Prince of Armenia",1,0.939771291094261,0.939771291094261
"Leo II, King of Armenia",1,-1.0737523556171658,-1.0737523556171658
